group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ocaml,,,,,2063428336.0,ns,1
ocaml,,,,,2020291419.0,ns,1
ocaml,,,,,2071127741.0,ns,1
ocaml,,,,,2061104946.0,ns,1
ocaml,,,,,2049513257.0,ns,1
ocaml,,,,,2057718567.0,ns,1
ocaml,,,,,2053227907.0,ns,1
ocaml,,,,,2033494565.0,ns,1
ocaml,,,,,2018421036.0,ns,1
ocaml,,,,,2027463684.0,ns,1
